time,front_hip_pos,front_knee_pos,back_hip_pos,back_knee_pos,front_hip_vel,front_knee_vel,back_hip_vel,back_knee_vel,front_hip_torque,front_knee_torque,back_hip_torque,back_knee_torque,
0.000000000000000000e+00,3.184147382342357446e-02,-1.228231509599972071e+00,9.761969806988370912e-01,-2.499999999525868155e+00,-4.941284295636885683e-19,2.049036398798079415e-18,-9.780985682562123381e-19,1.179355966915286076e-18,-2.571398344492438426e+00,1.466399137795040941e+00,-2.143752693311569146e+00,8.805032489772607107e+00
1.020408163265306041e-02,3.027310763143783653e-02,-1.227244373525568921e+00,9.703355216473383837e-01,-2.495809616326935210e+00,-1.552682530065915834e-01,9.772647136591698647e-02,-5.802844460983757058e-01,4.148479366943814695e-01,-1.773384450292636583e-01,1.848892084517614220e+00,-9.455291234681667545e-01,7.106344788711054683e+00
2.040816326530612082e-02,2.883340996241220630e-02,-1.228359628517305957e+00,9.598907796349659405e-01,-2.487189268093690231e+00,-1.425300692335359776e-01,-1.104102441819838770e-01,-1.034029459224867331e+00,8.534144750912368016e-01,-1.160302506458676719e+00,7.351022760464684946e-01,-7.977516633181701566e-01,6.430227304646156661e+00
3.061224489795918297e-02,2.713462302863419578e-02,-1.230338411546713751e+00,9.449951517765736719e-01,-2.473278976777490534e+00,-1.681799064440232527e-01,-1.958995199113822416e-01,-1.474667157980837029e+00,1.377118840303764191e+00,-8.780210141541493485e-01,9.043569245540039603e-01,-6.475787328666846587e-01,6.670907334726122961e+00
4.081632653061224164e-02,2.527564654695966737e-02,-1.232831494629618385e+00,9.261036981443669935e-01,-2.452904320656227100e+00,-1.840386716857789762e-01,-2.468152252075515030e-01,-1.870253909588459829e+00,2.017090956005072488e+00,-6.239299993992868387e-01,1.046816698053961714e+00,-4.744933202696968721e-01,6.891308484225486808e+00
5.102040816326530032e-02,2.332316706885931984e-02,-1.235508129433186664e+00,9.036941829106518442e-01,-2.424878551537836824e+00,-1.932954683319360045e-01,-2.649868455532817246e-01,-2.218542008137798671e+00,2.774551142720601327e+00,-3.990893933176944408e-01,1.160954025982082083e+00,-2.722750607010939738e-01,7.073124736338176177e+00
6.122448979591836593e-02,2.133271568206692240e-02,-1.238044929475533129e+00,8.782515314921121030e-01,-2.387992858789216744e+00,-1.970546872924499315e-01,-2.511432041923094549e-01,-2.518822490435445260e+00,3.651683582113380400e+00,-1.297852647399463377e-01,1.319453883180458975e+00,-2.364615528627253202e-02,7.209298255091209917e+00
7.142857142857142461e-02,1.937605747991166458e-02,-1.240115407242831536e+00,8.502397347276064998e-01,-2.341008251842528587e+00,-1.937091620133744307e-01,-2.049772989625330000e-01,-2.773167879686046167e+00,4.651476087722127950e+00,1.920845092285008437e-01,1.526177613265113031e+00,2.755755945817513486e-01,7.275099979012984441e+00
8.163265306122448328e-02,1.757459964836099314e-02,-1.241399211290209470e+00,8.200519295933065278e-01,-2.282648258959661280e+00,-1.783443253235209025e-01,-1.270966006904327150e-01,-2.988592708295704004e+00,5.777639295403850461e+00,6.302778837288933733e-01,1.839042724846056798e+00,6.550592433953495997e-01,7.230143806479873092e+00
9.183673469387754196e-02,1.633146357452886638e-02,-1.241447136962163356e+00,7.882836257170651173e-01,-2.211347401699754300e+00,-1.230704713093850600e-01,-4.744641523439256312e-03,-3.145062083747892867e+00,7.058784868730816342e+00,1.142975549205289543e+00,2.220400336009090481e+00,1.045136970955435674e+00,7.053505228372421776e+00
1.020408163265306006e-01,1.621402036546942121e-02,-1.239855015257264714e+00,7.552703317151016060e-01,-2.125477927098877284e+00,-1.162687769688852332e-02,1.576200487849781784e-01,-3.268316106194380399e+00,8.501077985486793054e+00,1.733664017024424853e+00,2.674074023044209270e+00,1.388187090330400775e+00,6.713657752142132118e+00
1.122448979591836593e-01,1.797483232377248413e-02,-1.236301111678622666e+00,7.209892580278933760e-01,-2.023327093169504209e+00,1.743203838720016607e-01,3.518364542855339505e-01,-3.393826295033613327e+00,1.011293255900792687e+01,2.351763353020037250e+00,3.205939471181371125e+00,1.708739498132922474e+00,6.174660614438349349e+00
1.224489795918367319e-01,2.254600969123498819e-02,-1.230594075350029071e+00,6.849774185534044380e-01,-1.903070699345802641e+00,4.525465593787879048e-01,5.649965965307592874e-01,-3.565172107974399207e+00,1.190538298854645660e+01,3.092724078794406584e+00,3.842184905338971834e+00,1.885148140524710136e+00,5.356400924885474701e+00
1.326530612244897767e-01,3.099364467098946266e-02,-1.222742598931191305e+00,6.462595103935203644e-01,-1.762731260588347615e+00,8.363158629956902734e-01,7.772961654649289676e-01,-3.833072907828519060e+00,1.389360443698802960e+01,5.861717929563736718e+00,5.745046938535891101e+00,1.967220460394033310e+00,3.895634150578138666e+00
1.428571428571428492e-01,4.454326782419656960e-02,-1.213058664114776475e+00,6.033541096603045606e-01,-1.599961754151318027e+00,1.341412692167486487e+00,9.587095468250519392e-01,-4.247634672588374016e+00,1.611418113726592694e+01,1.153247855384962151e+01,1.909851805161722638e+01,9.816333795136058527e+00,1.312202131348772127e+01
1.530612244897958940e-01,6.585528857030203964e-02,-1.203801520774804734e+00,5.525186435093556447e-01,-1.405183749604981491e+00,2.109890053864471593e+00,9.164571906572279714e-01,-5.032711148943952217e+00,1.928302245008736193e+01,1.403134813834543060e+01,1.025220839301212195e+01,1.251961361022761388e+01,2.256257310657061765e+01
