Unnamed: 0,t[s],q_fl1,q_fl2,q_fl3,q_fr1,q_fr2,q_fr3,q_bl1,q_bl2,q_bl3,q_br1,q_br2,q_br3,qd_fl1,qd_fl2,qd_fl3,qd_fr1,qd_fr2,qd_fr3,qd_bl1,qd_bl2,qd_bl3,qd_br1,qd_br2,qd_br3,Tau_fl1,Tau_fl2,Tau_fl3,Tau_fr1,Tau_fr2,Tau_fr3,Tau_bl1,Tau_bl2,Tau_bl3,Tau_br1,Tau_br2,Tau_br3,contactPhases
0.0,0.0,0.0,-1.174703699775964,2.440690205624475,0.0,-1.174703699775964,2.440690205624475,0.0,0.4600120878337816,-1.8303550834014808,0.0,0.4600120878337816,-1.8303550834014808,0.0,-7.396229368924387e-27,3.3821362042229965e-27,0.0,-7.396229368924387e-27,3.3821362042229965e-27,0.0,-5.1137137572112224e-27,4.4115006603307336e-27,0.0,-5.1137137572112224e-27,4.4115006603307336e-27,0.0,-0.3429679044322684,-3.3641689751806174,0.0,-0.3429679044322684,-3.3641689751806174,0.0,-1.2134977611000202,2.2249119014489414,0.0,-1.2134977611000202,2.2249119014489414,2
0.24500000000000421,0.002500000000000001,0.0,-1.174516833818964,2.4415215687918512,0.0,-1.174516833818964,2.4415215687918512,0.0,0.4594377975798518,-1.8298986496590535,0.0,0.4594377975798518,-1.8298986496590535,0.0,0.028280886913916132,0.12167675847685956,0.0,0.028280886913916132,0.12167675847685956,0.0,-0.0836134076298799,0.06383336703215689,0.0,-0.0836134076298799,0.06383336703215689,0.0,-0.16898507596073453,-4.053539756875444,0.0,-0.16898507596073453,-4.053539756875444,0.0,-1.133945502985034,2.0964082211034882,0.0,-1.133945502985034,2.0964082211034882,2
0.4900000000000063,0.005000000000000002,0.0,-1.1743807152521863,2.4418696796548236,0.0,-1.1743807152521863,2.4418696796548236,0.0,0.4591672552600435,-1.8297127492010696,0.0,0.4591672552600435,-1.8297127492010696,0.0,0.0442370067806692,0.16401503756268837,0.0,0.0442370067806692,0.16401503756268837,0.0,-0.11609475893378275,0.08614838797404346,0.0,-0.11609475893378275,0.08614838797404346,0.0,-0.20130938948818072,-4.38045545274266,0.0,-0.20130938948818072,-4.38045545274266,0.0,-1.142409944111995,2.1097371852315514,0.0,-1.142409944111995,2.1097371852315514,2
0.7350000000000069,0.007500000000000001,0.0,-1.1742786228569844,2.441849996289818,0.0,-1.1742786228569844,2.441849996289818,0.0,0.4591204169965726,-1.8297172624505842,0.0,0.4591204169965726,-1.8297172624505842,0.0,0.05089682619138363,0.14701145204081348,0.0,0.05089682619138363,0.14701145204081348,0.0,-0.11069275970618762,0.07867281078504093,0.0,-0.11069275970618762,0.07867281078504093,0.0,-0.3639887690744262,-4.421769790487956,0.0,-0.3639887690744262,-4.421769790487956,0.0,-1.208722947615459,2.21647850313385,0.0,-1.208722947615459,2.21647850313385,2
0.9800000000000062,0.01,0.0,-1.1741938354147101,2.4415779767732633,0.0,-1.1741938354147101,2.4415779767732633,0.0,0.4592172389116547,-1.8298320698306518,0.0,0.4592172389116547,-1.8298320698306518,0.0,0.051288811737183866,0.09066261669456196,0.0,0.051288811737183866,0.09066261669456196,0.0,-0.08065611574157341,0.053134383424530585,0.0,-0.08065611574157341,0.053134383424530585,0.0,-0.5810711387792906,-4.254336497817021,0.0,-0.5810711387792906,-4.254336497817021,0.0,-1.3027163766299803,2.368211884111102,0.0,-1.3027163766299803,2.368211884111102,2
1.2250000000000048,0.0125,0.0,-1.1741096317067155,2.4411690791815857,0.0,-1.1741096317067155,2.4411690791815857,0.0,0.4593776771275059,-1.8299770517643275,0.0,0.4593776771275059,-1.8299770517643275,0.0,0.048441430009194375,0.014965146307260934,0.0,0.048441430009194375,0.014965146307260934,0.0,-0.03923353283441923,0.0212608538518935,0.0,-0.03923353283441923,0.0212608538518935,0.0,-0.7766044226625932,-3.955009302435543,0.0,-0.7766044226625932,-3.955009302435543,0.0,-1.3942220942901142,2.5165170374640278,0.0,-1.3942220942901142,2.5165170374640278,2
1.4700000000000033,0.015000000000000001,0.0,-1.1740092905143529,2.440738761591213,0.0,-1.1740092905143529,2.440738761591213,0.0,0.4595216877663416,-1.8300720886746658,0.0,0.4595216877663416,-1.8300720886746658,0.0,0.04538314759853954,-0.060084344337762566,0.0,0.04538314759853954,-0.060084344337762566,0.0,0.0003262832207959303,-0.00522002997348895,0.0,0.0003262832207959303,-0.00522002997348895,0.0,-0.8746365447841532,-3.6006419320492116,0.0,-0.8746365447841532,-3.6006419320492116,0.0,-1.4530719637304155,2.6129736724933434,0.0,-1.4530719637304155,2.6129736724933434,2
1.7150000000000027,0.017500000000000005,0.0,-1.1738760906189754,2.440402482078571,0.0,-1.1738760906189754,2.440402482078571,0.0,0.45956922695037794,-1.8300370609847214,0.0,0.45956922695037794,-1.8300370609847214,0.0,0.045142431096343805,-0.11448924045718151,0.0,0.045142431096343805,-0.11448924045718151,0.0,0.024774626629593094,-0.014580520092235635,0.0,0.024774626629593094,-0.014580520092235635,0.0,-0.79921542920379,-3.268088114363716,0.0,-0.79921542920379,-3.268088114363716,0.0,-1.4490978480854395,2.6091614984997675,0.0,-1.4490978480854395,2.6091614984997675,2
1.9600000000000022,0.019999999999999997,0.0,-1.1736933108019345,2.4402756987200886,0.0,-1.1736933108019345,2.4402756987200886,0.0,0.45944025080183065,-1.8297918491175493,0.0,0.45944025080183065,-1.8297918491175493,0.0,0.050747747093731616,-0.12825292726766868,0.0,0.050747747093731616,-0.12825292726766868,0.0,0.020862791597493213,0.004907131455034713,0.0,0.020862791597493213,0.004907131455034713,0.0,-0.4743889999813228,-3.0342015770847457,0.0,-0.4743889999813228,-3.0342015770847457,0.0,-1.3521316104897412,2.4566602247840192,0.0,-1.3521316104897412,2.4566602247840192,2
2.205000000000003,0.0225,0.0,-1.1734431298134504,2.4404483297248736,0.0,-1.1734431298134504,2.4404483297248736,0.0,0.4590715817216433,-1.8292795804714017,0.0,0.4590715817216433,-1.8292795804714017,0.0,0.06496154689575208,-0.08638277949196371,0.0,0.06496154689575208,-0.08638277949196371,0.0,-0.021348001653340186,0.06121734932984859,0.0,-0.021348001653340186,0.06121734932984859,0.0,0.15161305988997312,-2.9601878883787967,0.0,0.15161305988997312,-2.9601878883787967,0.0,-1.1391195600545176,2.120444529718384,0.0,-1.1391195600545176,2.120444529718384,2
