,t[s],q_fl1,q_fl2,q_fl3,q_fr1,q_fr2,q_fr3,q_bl1,q_bl2,q_bl3,q_br1,q_br2,q_br3,qd_fl1,qd_fl2,qd_fl3,qd_fr1,qd_fr2,qd_fr3,qd_bl1,qd_bl2,qd_bl3,qd_br1,qd_br2,qd_br3,Tau_fl1,Tau_fl2,Tau_fl3,Tau_fr1,Tau_fr2,Tau_fr3,Tau_bl1,Tau_bl2,Tau_bl3,Tau_br1,Tau_br2,Tau_br3,contactPhases
34,0.3469387755102041,0.0,-0.6338923668421563,-0.34768846491001065,0.0,-0.6338923668421563,-0.34768846491001065,-0.0,0.2264695165331322,0.16827916364260512,-0.0,0.2264695165331322,0.16827916364260512,0.0,-2.083579604200988,-0.9788130045531865,0.0,-2.083579604200988,-0.9788130045531865,-0.0,-4.162444583467694,5.393947421673702,-0.0,-4.162444583467694,5.393947421673702,0.0,-0.25523085282509667,-0.00991474329599745,0.0,-0.25523085282509667,-0.00991474329599745,-0.0,-0.4594398562998832,-0.036358433797067886,-0.0,-0.4594398562998832,-0.036358433797067886,0
35,0.3571428571428571,0.0,-0.6553261710816536,-0.35035174804999164,0.0,-0.6553261710816536,-0.35035174804999164,-0.0,0.18195335432340623,0.22013795392370664,-0.0,0.18195335432340623,0.22013795392370664,0.0,-2.121946619710232,-0.2636650308581162,0.0,-2.121946619710232,-0.2636650308581162,-0.0,-4.407100058762873,5.134020237829049,-0.0,-4.407100058762873,5.134020237829049,0.0,-0.2453147913780992,-0.008944523402947884,0.0,-0.2453147913780992,-0.008944523402947884,-0.0,-0.44810541270327625,-0.031131331387273788,-0.0,-0.44810541270327625,-0.031131331387273788,0
36,0.36734693877551017,0.0,-0.6769954107881281,-0.34608615654833563,0.0,-0.6769954107881281,-0.34608615654833563,-0.0,0.13544246633520984,0.26937137713614207,-0.0,0.13544246633520984,0.26937137713614207,0.0,-2.145254730940972,0.42229355866394847,0.0,-2.145254730940972,0.42229355866394847,-0.0,-4.604577910831446,4.874108898031114,-0.0,-4.604577910831446,4.874108898031114,0.0,-0.2360846541906237,-0.008176565894757062,0.0,-0.2360846541906237,-0.008176565894757062,-0.0,-0.4371561273575664,-0.026081392677424948,-0.0,-0.4371561273575664,-0.026081392677424948,0
37,0.3775510204081632,0.0,-0.698757836464558,-0.33518612240300905,0.0,-0.698757836464558,-0.33518612240300905,-0.0,0.08739510038649363,0.31597692270927075,-0.0,0.08739510038649363,0.31597692270927075,0.0,-2.1544801419665727,1.079103380387329,0.0,-2.1544801419665727,1.079103380387329,-0.0,-4.7566892289229035,4.613949011739731,-0.0,-4.7566892289229035,4.613949011739731,0.0,-0.22759997345336985,-0.007606877544123584,0.0,-0.22759997345336985,-0.007606877544123584,-0.0,-0.42648107210694336,-0.021273522491815074,-0.0,-0.42648107210694336,-0.021273522491815074,0
38,0.3877551020408163,0.0,-0.7204809760586219,-0.31794579071156526,0.0,-0.7204809760586219,-0.31794579071156526,-0.0,0.03825099581985452,0.35994954821463565,-0.0,0.03825099581985452,0.35994954821463565,0.0,-2.1505908198123205,1.7067928374529329,0.0,-2.1505908198123205,1.7067928374529329,-0.0,-4.865266352097274,4.353289925031125,-0.0,-4.865266352097274,4.353289925031125,0.0,-0.21992741032578209,-0.007228108962369104,0.0,-0.21992741032578209,-0.007228108962369104,-0.0,-0.41598885275070313,-0.01676420368194386,-0.0,-0.41598885275070313,-0.01676420368194386,0
39,0.3979591836734693,0.0,-0.7420420278092567,-0.2946591377206372,0.0,-0.7420420278092567,-0.2946591377206372,-0.0,-0.01156893801585502,0.401281803333068,-0.0,-0.01156893801585502,0.401281803333068,0.0,-2.1345441233128546,2.3053786461018806,0.0,-2.1345441233128546,2.3053786461018806,-0.0,-4.932173449735244,4.091893256724793,-0.0,-4.932173449735244,4.091893256724793,0.0,-0.21313834210001129,-0.007030199323199498,0.0,-0.21313834210001129,-0.007030199323199498,-0.0,-0.40560974191775145,-0.012601137951740598,-0.0,-0.40560974191775145,-0.012601137951740598,0
40,0.4081632653061224,0.0,-0.7633277304148065,-0.26562008300813367,0.0,-0.7633277304148065,-0.26562008300813367,-0.0,-0.0616630234713095,0.4399639392389128,-0.0,-0.0616630234713095,0.4399639392389128,0.0,-2.1072845579494395,2.8748664165378366,0.0,-2.1072845579494395,2.8748664165378366,-0.0,-4.959314460089994,3.8295314546786368,-0.0,-4.959314460089994,3.8295314546786368,0.0,-0.20730597824242092,-0.007000759202903228,0.0,-0.20730597824242092,-0.007000759202903228,-0.0,-0.3952966787790777,-0.008823036001781049,-0.0,-0.3952966787790777,-0.008823036001781049,0
41,0.4183673469387754,0.0,-0.7842342120216835,-0.23112259475365285,0.0,-0.7842342120216835,-0.23112259475365285,-0.0,-0.11164926668419646,0.4759840037805576,-0.0,-0.11164926668419646,0.4759840037805576,0.0,-2.069741679080816,3.4152513371936033,0.0,-2.069741679080816,3.4152513371936033,-0.0,-4.948638078075808,3.565986389622842,-0.0,-4.948638078075808,3.565986389622842,0.0,-0.20250204570564928,-0.007125276655022858,0.0,-0.20250204570564928,-0.007125276655022858,-0.0,-0.3850252330914122,-0.005459546965446515,-0.0,-0.3850252330914122,-0.005459546965446515,0
42,0.4285714285714285,0.0,-0.8046668196428554,-0.19146078662452573,0.0,-0.8046668196428554,-0.19146078662452573,-0.0,-0.16116582857517123,0.5093279230613198,-0.0,-0.16116582857517123,0.5093279230613198,0.0,-2.022828154496016,3.9265190047835854,0.0,-2.022828154496016,3.9265190047835854,-0.0,-4.902139627206504,3.3010480087954552,-0.0,-4.902139627206504,3.3010480087954552,0.0,-0.19879310281746193,-0.00738722426188193,0.0,-0.19879310281746193,-0.00738722426188193,-0.0,-0.37479269441870056,-0.0025313259995321776,-0.0,-0.37479269441870056,-0.0025313259995321776,0
43,0.4387755102040816,0.0,-0.824539930635294,-0.14692900448599683,0.0,-0.824539930635294,-0.14692900448599683,-0.0,-0.2098714832895176,0.5399795702889543,-0.0,-0.2098714832895176,0.5399795702889543,0.0,-1.9674379882514248,4.408646431714362,0.0,-1.9674379882514248,4.408646431714362,-0.0,-4.821859816720286,3.0345130755358167,-0.0,-4.821859816720286,3.0345130755358167,0.0,-0.19623657244529988,-0.007768135515615586,0.0,-0.19623657244529988,-0.007768135515615586,-0.0,-0.3646164801998979,-5.024485177483216e-05,-0.0,-0.3646164801998979,-5.024485177483216e-05,0
44,0.4489795918367346,0.0,-0.8437767477921688,-0.09782190097023241,0.0,-0.8437767477921688,-0.09782190097023241,-0.0,-0.25744603436324104,0.5679208230426064,-0.0,-0.25744603436324104,0.5679208230426064,0.0,-1.9044448985306155,4.861603248060676,0.0,-1.9044448985306155,4.861603248060676,-0.0,-4.70988055629862,2.766184022611559,-0.0,-4.70988055629862,2.766184022611559,0.0,-0.19487662777308384,-0.008247707801216456,0.0,-0.19487662777308384,-0.008247707801216456,-0.0,-0.3545320604094004,0.0019802478603369216,-0.0,-0.3545320604094004,0.0019802478603369216,0
45,0.45918367346938765,0.0,-0.862309079510155,-0.044434495957953714,0.0,-0.862309079510155,-0.044434495957953714,-0.0,-0.3035906622918194,0.5931316103831754,-0.0,-0.3035906622918194,0.5931316103831754,0.0,-1.8347008400806428,5.285353096215592,0.0,-1.8347008400806428,5.285353096215592,-0.0,-4.5683181649292655,2.4958679467163294,-0.0,-4.5683181649292655,2.4958679467163294,0.0,-0.194740107604433,-0.00880397594711647,0.0,-0.194740107604433,-0.00880397594711647,-0.0,-0.3445905759812706,0.0035646126091476685,-0.0,-0.3445905759812706,0.0035646126091476685,0
46,0.4693877551020408,0.0,-0.8800771064103214,0.012937778738066444,0.0,-0.8800771064103214,0.012937778738066444,-0.0,-0.34802818200630514,0.6155899514776814,-0.0,-0.34802818200630514,0.6155899514776814,0.0,-1.7590346631164755,5.679855194905995,0.0,-1.7590346631164755,5.679855194905995,-0.0,-4.399314451734081,2.223375768356093,-0.0,-4.399314451734081,2.223375768356093,0.0,-0.19583267768196463,-0.009413585513906706,0.0,-0.19583267768196463,-0.009413585513906706,-0.0,-0.3348562918478063,0.004714553853599834,-0.0,-0.3348562918478063,0.004714553853599834,0
47,0.47959183673469385,0.0,-0.897029135766092,0.07399905172280842,0.0,-0.897029135766092,0.07399905172280842,-0.0,-0.3905031946436073,0.6352719876055778,-0.0,-0.3905031946436073,0.6352719876055778,0.0,-1.6782509062212632,6.045066025489454,0.0,-1.6782509062212632,6.045066025489454,-0.0,-4.205026251092905,1.9485215766617383,-0.0,-4.205026251092905,1.9485215766617383,0.0,-0.1981354838403404,-0.010052179596451265,0.0,-0.1981354838403404,-0.010052179596451265,-0.0,-0.32540398488642214,0.005448215854984533,-0.0,-0.32540398488642214,0.005448215854984533,0
48,0.48979591836734687,0.0,-0.913121345186167,0.13845300192244137,0.0,-0.913121345186167,0.13845300192244137,-0.0,-0.4307821244955636,0.6521520095427205,-0.0,-0.4307821244955636,0.6521520095427205,0.0,-1.5931287325874304,6.380941069763662,0.0,-1.5931287325874304,6.380941069763662,-0.0,-3.9876140553436783,1.6711221717771327,-0.0,-3.9876140553436783,1.6711221717771327,0.0,-0.2016025533142374,-0.010694897649650571,0.0,-0.2016025533142374,-0.010694897649650571,-0.0,-0.31631632953747607,0.005789261653999986,-0.0,-0.31631632953747607,0.005789261653999986,0
49,0.5,0.0,-0.9283175172205204,0.2060028656316956,0.0,-0.9283175172205204,0.2060028656316956,-0.0,-0.46865313863205943,0.6662024823705933,-0.0,-0.46865313863205943,0.6662024823705933,0.0,-1.5044210314010007,6.687436507216169,0.0,-1.5044210314010007,6.687436507216169,-0.0,-3.7492303995130896,1.3909968099594097,-0.0,-3.7492303995130896,1.3909968099594097,0.0,-0.20615919031331123,-0.011316971210214256,0.0,-0.20615919031331123,-0.011316971210214256,-0.0,-0.30768131620699923,0.005765866665551045,-0.0,-0.30768131620699923,0.005765866665551045,0
50,0.5102040816326531,0.0,-0.942588766916617,0.27635145919421766,0.0,-0.942588766916617,0.27635145919421766,-0.0,-0.5039259529319633,0.677394069732442,-0.0,-0.5039259529319633,0.677394069732442,0.0,-1.4128537199135547,6.964510762689692,0.0,-1.4128537199135547,6.964510762689692,-0.0,-3.492008615690479,1.1079671488230192,-0.0,-3.492008615690479,1.1079671488230192,0.0,-0.2117015770443421,-0.011894390123097467,0.0,-0.2117015770443421,-0.011894390123097467,-0.0,-0.2995897222241246,0.005409664895103108,-0.0,-0.2995897222241246,0.005409664895103108,0
51,0.520408163265306,0.0,-0.9559132648186464,0.34920121460486897,0.0,-0.9559132648186464,0.34920121460486897,-0.0,-0.5364315337150177,0.6856956594544691,-0.0,-0.5364315337150177,0.6856956594544691,0.0,-1.3191252923009191,7.212125785654473,0.0,-1.3191252923009191,7.212125785654473,-0.0,-3.2180524975224,0.8218573824806871,-0.0,-3.2180524975224,0.8218573824806871,0.0,-0.21809773352039244,-0.01240460490015922,0.0,-0.21809773352039244,-0.01240460490015922,-0.0,-0.29213264879078527,0.004754688913299172,-0.0,-0.29213264879078527,0.004754688913299172,0
52,0.5306122448979591,0.0,-0.968275958432344,0.4242542241122568,0.0,-0.968275958432344,0.4242542241122568,-0.0,-0.5660217085012719,0.6910743922881074,-0.0,-0.5660217085012719,0.6910743922881074,0.0,-1.223906667756044,7.430247941231396,0.0,-1.223906667756044,7.430247941231396,-0.0,-2.9294273038391387,0.5324945505301909,-0.0,-2.9294273038391387,0.5324945505301909,0.0,-0.22518991124295848,-0.0128272263773493,0.0,-0.22518991124295848,-0.0128272263773493,-0.0,-0.28539913975772285,0.0038363436915313416,-0.0,-0.28539913975772285,0.0038363436915313416,0
53,0.5408163265306122,0.0,-0.9796682956995424,0.501212288783282,0.0,-0.9796682956995424,0.501212288783282,-0.0,-0.5925687024555948,0.6934956953183734,-0.0,-0.5925687024555948,0.6934956953183734,0.0,-1.1278413894526496,7.618848402431482,0.0,-1.1278413894526496,7.618848402431482,-0.0,-2.6281524014779705,0.23970899999632847,-0.0,-2.6281524014779705,0.23970899999632847,0.0,-0.23279840380985453,-0.013144682981588484,0.0,-0.23279840380985453,-0.013144682981588484,-0.0,-0.2794739022164792,0.002690449938565129,-0.0,-0.2794739022164792,0.002690449938565129,0
54,0.5510204081632653,0.0,-0.9900879544666767,0.5797769650773593,0.0,-0.9900879544666767,0.5797769650773593,-0.0,-0.6159646187231133,0.692923321344197,-0.0,-0.6159646187231133,0.692923321344197,0.0,-1.0315462179463126,7.777902953113667,0.0,-1.0315462179463126,7.777902953113667,-0.0,-2.3161957104843327,-0.056665023443464926,-0.0,-2.3161957104843327,-0.056665023443464926,0.0,-0.24072665916123948,-0.0133427982829115,0.0,-0.24072665916123948,-0.0133427982829115,-0.0,-0.2744351526616127,0.001352385363527898,-0.0,-0.2744351526616127,0.001352385363527898,0
55,0.5612244897959183,0.0,-0.9995385822143831,0.6596496028678067,0.0,-0.9995385822143831,0.6596496028678067,-0.0,-0.6361208811717565,0.6893193952932439,-0.0,-0.6361208811717565,0.6893193952932439,0.0,-0.9356121470229094,7.907391141254282,0.0,-0.9356121470229094,7.907391141254282,-0.0,-1.9954699824156727,-0.3567886790443524,-0.0,-1.9954699824156727,-0.3567886790443524,0.0,-0.2487674827795704,-0.013411256575282192,0.0,-0.2487674827795704,-0.013411256575282192,-0.0,-0.27035261400964483,-0.0001436565644061586,-0.0,-0.27035261400964483,-0.0001436565644061586,0
56,0.5714285714285714,0.0,-1.008029550383564,0.7405313681274408,0.0,-1.008029550383564,0.7405313681274408,-0.0,-0.6529676571852109,0.6826444684958859,-0.0,-0.6529676571852109,0.6826444684958859,0.0,-0.8406058487489075,8.007294760703763,0.0,-0.8406058487489075,8.007294760703763,-0.0,-1.6678308253319847,-0.6608177529384515,-0.0,-1.6678308253319847,-0.6608177529384515,0.0,-0.25671003743093734,-0.013343931288261382,0.0,-0.25671003743093734,-0.013343931288261382,-0.0,-0.26728568671087766,-0.0017652799299211531,-0.0,-0.26728568671087766,-0.0017652799299211531,0
57,0.5816326530612245,0.0,-1.0155757274506343,0.8221232437201347,0.0,-1.0155757274506343,0.8221232437201347,-0.0,-0.6664532763107616,0.6728575814369884,-0.0,-0.6664532763107616,0.6728575814369884,0.0,-0.7470715296399718,8.077595683676712,0.0,-0.7470715296399718,8.077595683676712,-0.0,-1.33507629342952,-0.9689018188308495,-0.0,-1.33507629342952,-0.9689018188308495,0.0,-0.2643472813727763,-0.01313905941368602,0.0,-0.2643472813727763,-0.01313905941368602,-0.0,-0.26528181192649886,-0.0034823696835812315,-0.0,-0.26528181192649886,-0.0034823696835812315,0
58,0.5918367346938777,0.0,-1.0221972744774688,0.904126002432711,0.0,-1.0221972744774688,0.904126002432711,-0.0,-0.6765436579970284,0.6599163354341612,-0.0,-0.6765436579970284,0.6599163354341612,0.0,-0.6555331556565988,8.118273112545046,0.0,-0.6555331556565988,8.118273112545046,-0.0,-0.9989477869404376,-1.2811833542798852,-0.0,-0.9989477869404376,-1.2811833542798852,0.0,-0.2714834477596028,-0.01279925397799254,0.0,-0.2714834477596028,-0.01279925397799254,-0.0,-0.2643750387693964,-0.005267449732162296,-0.0,-0.2643750387693964,-0.005267449732162296,0
59,0.6020408163265306,0.0,-1.0279194661962139,0.9862401475166775,0.0,-1.0279194661962139,0.9862401475166775,-0.0,-0.683221758615875,0.6437769735754616,-0.0,-0.683221758615875,0.6437769735754616,0.0,-0.5664969801557792,8.129300363312694,0.0,-0.5664969801557792,8.129300363312694,-0.0,-0.6611319612657923,-1.5977968240112608,-0.0,-0.6611319612657923,-1.5977968240112608,0.0,-0.2779411603703623,-0.012331355725390718,0.0,-0.2779411603703623,-0.012331355725390718,-0.0,-0.2645848037418368,-0.00709592567165686,-0.0,-0.2645848037418368,-0.00709592567165686,0
60,0.6122448979591836,0.0,-1.0327725399000236,1.0681658175273938,0.0,-1.0327725399000236,1.0681658175273938,-0.0,-0.6864870447423616,0.624394471179598,-0.0,-0.6864870447423616,0.624394471179598,0.0,-0.4804542966771636,8.110641331060904,0.0,-0.4804542966771636,8.110641331060904,-0.0,-0.32326332652216505,-1.918867737190496,-0.0,-0.32326332652216505,-1.918867737190496,0.0,-0.2835677982900858,-0.011746133288963878,0.0,-0.2835677982900858,-0.011746133288963878,-0.0,-0.26591492309044484,-0.008946224275140852,-0.0,-0.26591492309044484,-0.008946224275140852,0
61,0.6224489795918366,0.0,-1.0367915735150193,1.1496026540405504,0.0,-1.0367915735150193,1.1496026540405504,-0.0,-0.6863549963837436,0.6017226360373964,-0.0,-0.6863549963837436,0.6017226360373964,0.0,-0.39788432788456574,8.062246814802494,0.0,-0.39788432788456574,8.062246814802494,-0.0,0.013072787503165567,-2.2445116790779545,-0.0,0.013072787503165567,-2.2445116790779545,0.0,-0.28824077126064634,-0.0110578488492095,0.0,-0.28824077126064634,-0.0110578488492095,-0.0,-0.2683528008770064,-0.010799843040735708,-0.0,-0.2683528008770064,-0.010799843040735708,0
